Comm,co2,treatment_o3,plot,year,fc_npp,fc_grow_repr,fc_leaf_litter,fc_grow_croot,fc_grow_wood,ptrait_lai,fc_froot_to_litter_1t2mm,fc_froot_to_litter_lt1mm,fc_grow_leaf,fc_grow_froot,ptrait_lai_peak,fc_grow_froot.1,ptrait_nconc_leaf,n_leaf,c_froot,c_croot,c_wood,c_leaf,fn_leaf_to_litter,ptrait_lma,ptrait_sla
AB,AMB,ELE,2,1999,       345.0,         0.7,        45.4,        53.8,       218.6,        1.06,         2.8,        14.1,        48.0,        23.9,        1.06,        23.9,        1.85,        2.48,11.1,84.4,300,66.8,          NA,          NA,          NA
AB,AMB,ELE,3,1999,       321.0,         0.5,        39.8,        52.3,       206.5,        0.94,         2.3,        11.7,        41.4,        20.3,        0.94,        20.3,        1.52,        1.81,9.2,76.2,268.5,60,          NA,          NA,          NA
AB,ELE,ELE,1,1999,       323.0,         0.9,        36.7,        51.5,       195.6,        0.89,         4.3,        21.4,        39.8,        35.2,        0.89,        35.2,        1.74,        2.06,14.8,80.4,264.9,57.7,          NA,          NA,          NA
AB,ELE,ELE,2,1999,       432.0,         1.1,        50.6,        66.8,       261.9,        1.16,         5.9,        29.0,        53.8,        48.4,        1.16,        48.4,        1.36,        2.07,20.1,98.7,340.7,74.4,          NA,          NA,          NA
AB,ELE,ELE,3,1999,       347.0,         0.8,        38.7,        55.0,       213.9,        0.83,         4.4,        21.7,        41.1,        36.2,        0.83,        36.2,        1.40,        1.76,15.1,81.7,281,62.7,          NA,          NA,          NA
AM,AMB,AMB,1,1999,       233.0,         0.8,        20.5,        38.8,       142.1,        0.60,         2.5,        16.6,        22.8,        28.5,        0.60,        28.5,        1.87,        1.41,12.8,53.4,169.8,36.6,          NA,          NA,          NA
AM,AMB,AMB,2,1999,       176.0,         0.6,        16.4,        30.0,       104.0,        0.48,         2.1,        13.6,        18.6,        22.8,        0.48,        22.8,        1.78,        1.06,10.5,44.4,130.9,29.8,          NA,          NA,          NA
AM,AMB,AMB,3,1999,       190.0,         1.1,        17.9,        32.5,       110.9,        0.42,         2.2,        14.6,        21.2,        24.3,        0.42,        24.3,        1.83,        1.21,11.2,49.1,144.1,32.8,          NA,          NA,          NA
AM,ELE,AMB,1,1999,       324.0,         0.0,        30.3,        57.2,       198.4,        0.77,         4.5,        21.4,        29.9,        38.5,        0.77,        38.5,        1.79,        1.94,19.6,88.5,255.9,51.6,          NA,          NA,          NA
AM,ELE,AMB,2,1999,       435.0,         0.0,        36.2,        76.9,       277.1,        0.92,         4.9,        23.4,        36.0,        45.0,        0.92,        45.0,        1.61,        2.07,21.4,98.9,313,64,          NA,          NA,          NA
