Ring,plot,tree,CO2,dbh_m,height_m,stemarea_m2,total.woodarea_m2,stemmass_kg,total.woodmass_kg
5,plot 5,28,ele,0.390333333,20.2,8.94,13.96666667,362.9866667,424.4866667
5,plot 5,29,ele,0.207333333,15.56666667,5.97,12.1,183.68,259.6666667
5,plot 5,30,ele,0.158333333,22.63333333,7.766666667,13.1,193.7933333,253.1066667
5,plot 5,31,ele,0.198333333,15.83333333,5.716666667,9.203333333,158.26,207.46
5,plot 5,32,ele,0.203,16.63333333,5.39,9.226666667,157.7133333,186.4133333
5,plot 5,33,ele,0.338666667,21.2,11.17,16.3,467.1266667,529.4466667
5,plot 5,34,ele,0.345333333,21.86666667,11.63333333,20.16666667,472.8666667,581.9266667
5,plot 5,35,ele,0.257666667,18.9,8.86,11.63333333,329.64,362.1666667
5,plot 5,36,ele,0.251666667,20.73333333,9.523333333,16.56666667,324.1733333,403.1666667
5,plot 5,37,ele,0.223,16.36666667,6.863333333,14.2,210.74,308.5933333
5,plot 5,38,ele,0.31,20.23333333,7.95,12.56666667,289.7333333,325.2666667
5,plot 5,39,ele,0.187333333,12.86666667,4.486666667,8.63,122.4533333,160.9933333
5,plot 5,40,ele,0.147666667,10.11,3.453333333,8.88,72.898,137.2133333
5,plot 5,41,ele,0.223,18.26666667,7.033333333,11.3,198.7133333,250.6466667
5,plot 5,42,ele,0.219666667,19.4,7.046666667,11.9,222.7666667,267.0466667
6,plot 6,1,amb,0.243666667,13.46666667,5.413333333,8.053333333,162.9066667,189.42
6,plot 6,2,amb,0.154666667,8.333333333,2.553333333,5.23,55.76,74.97533333
6,plot 6,3,amb,0.284333333,19.86666667,9.18,18.3,352.8733333,451
6,plot 6,4,amb,0.1379,7.41,1.936666667,6.6,40.20733333,73.308
6,plot 6,5,amb,0.099833333,10.83333333,3.083333333,10.93333333,56.44333333,124.64
6,plot 6,6,amb,0.399,19.73333333,11.05333333,30.8,613.36,916.76
6,plot 6,7,amb,0.142333333,10.6,3.256666667,4.546666667,78.93866667,85.63533333
6,plot 6,8,amb,0.112333333,8.833333333,1.963333333,2.876666667,31.92533333,38.10266667
6,plot 6,9,amb,0.175666667,12.56666667,4.763333333,6.876666667,117.5333333,136.12
6,plot 6,10,amb,0.222333333,16.83333333,6.126666667,10.64,185.8666667,230.42
6,plot 6,11,amb,0.1213,17.46666667,5.416666667,9.706666667,107.6933333,157.44
6,plot 6,12,amb,0.192666667,13.8,4.396666667,5.68,115.8933333,123.5466667
6,plot 6,13,amb,0.332666667,19.2,9.56,17.66666667,416.0133333,487.9
6,plot 6,14,amb,0.224333333,13.43333333,5.126666667,7.093333333,178.76,197.0733333
6,plot 6,15,amb,0.364666667,21.16666667,9.986666667,17.8,462.2066667,549.6733333
6,plot 6,16,amb,0.281,18.86666667,8.286666667,11.5,293.8333333,324.72
6,plot 6,17,amb,0.361333333,16.03333333,7.663333333,17.86666667,372.0066667,496.3733333
6,plot 6,18,amb,0.13,7.666666667,2.706666667,6.933333333,61.09,99.68466667
6,plot 6,19,amb,0.244666667,19.73333333,7.236666667,9.84,225.7733333,243.8133333
6,plot 6,20,amb,0.188666667,12.23333333,7.173333333,17.03333333,221.9466667,383.4866667
6,plot 6,21,amb,0.681666667,22.36666667,15.2,55.43333333,988.3733333,1591.346667
6,plot 6,22,amb,0.243,16.73333333,7.62,17.16666667,262.4,332.1
